Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Dad,NFAPPL-02-IPHONE10=1-58BEDD284A0D0E2DCA66A1A811D7979F8F6D0D3DF268AA84E933AB118B93ED3E,Apple iPhone 8 (CDMA),2023-04-28T10:03:30.888,2023-07-30T13:05:43.288,,,2023-04-28T10:03:30.888,2023-07-30T13:05:43.288,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE12=1-TJH3UW5ZYCFERJN43R5SP6TPEAL3OJPAYFHZQUSQ7ZT2F2LN4PNQ,Apple iPhone 11,,,,,,,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE10=1-IGOOPX5CTOO77HCJUD52B6XUZXTLTDFHP4ABQSIWT7DFC6RQPZUQ,Apple iPhone 8 (CDMA),,,,,,,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE10=1-GZU35DFY2QLTVLPXTBAQRZEJK6B7HVWOPJ5CDOLTM2N2G32MZGBA,Apple iPhone 8 (CDMA),,,,,,,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE14=5-BRCG3ZMAXPBNNMGVHJA43VZZ2MWTHNNIECEFEPMOER6RF3IC46UQ,Apple iPhone 13,,,,,,,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE14=5-D2D3XCLT7QACNUH7F2EIMT7HBEHG7KVBURQ564KXFTML7YVFY3CQ,Apple iPhone 13,,,,,,,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE14=5-BBPIGOJS3EWMDBC27X3337BWIN64A3DLWX2BLX4LS5GEIINMLLWQ,Apple iPhone 13,,,,,,,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE14=5-G4E6J3IBMJPF3I6QGYQK5YOUVXPU4BZTZWJPK54WUDQQNZQ5677Q,Apple iPhone 13,,,,,,,,,1970-01-01T00:00:00.000
Dad,GOOGCAP0010000000000000027250149,Google Chromecast V5 Streaming Stick,2020-10-18T10:30:37.486,2023-06-21T11:34:59.499,,,2020-10-18T10:30:37.486,2023-06-21T11:34:59.499,,,1970-01-01T00:00:00.000
Dad,NFCDCH-02-JW9CA6G4C2PL3W79NDFKQX3WAWJQYX,Chrome PC (Cadmium),2023-02-05T10:27:33.352,2023-06-14T12:31:47.592,,,2023-02-05T10:27:33.352,2023-06-14T12:31:47.592,,,1970-01-01T00:00:00.000
Dad,NFCDFF-02-K85LCP3FPKP0U8M68N13FCH082311W,Firefox PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Dad,NFCDCH-02-JTVE7NNXA4VAJ0T7D81YK3Y8ET8L8V,Chrome PC (Cadmium),2023-04-27T08:19:31.443,2023-05-26T12:57:34.886,,,2023-04-27T08:19:31.443,2023-05-26T12:57:34.886,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE14=2-E090D203C6A51D1D0CC0EC82B4E8ED688A140655D5DF58BB8899690F49CD7DEA,Apple iPhone 13 Pro,2022-06-01T06:59:41.195,2023-04-26T07:37:51.871,,,2022-06-01T06:59:41.195,2023-04-26T07:37:51.871,,,1970-01-01T00:00:00.000
Dad,GOOGCAP0010000000000000016140328,Google Chromecast V5 Streaming Stick,2022-06-26T11:13:18.833,2023-04-14T11:29:11.342,,,2022-06-26T11:13:18.833,2023-04-14T11:29:11.342,,,1970-01-01T00:00:00.000
Dad,NFCDCH-02-JW7X5MV11Q2WN1H5Y7MPA25M88MQ33,Chrome PC (Cadmium),2023-01-15T12:42:51.236,2023-01-31T11:28:06.846,,,2023-01-15T12:42:51.236,2023-01-31T11:28:06.846,,,1970-01-01T00:00:00.000
Dad,NFCDFF-02-JWCQRM30XNR3DG47678T3WMVGH0HYU,Firefox PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Dad,NFUWA-001-A48ACDED75DA9618633D31C8CF9447E934BFFDD301D23921D977C217549D6EC3,Netflix Windows App - Cadmium Windows Mobile,2021-09-29T11:51:08.399,2022-11-10T08:46:02.948,,,2021-09-29T11:51:08.399,2022-11-10T08:46:02.948,,,1970-01-01T00:00:00.000
