Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Josh,AU,PS4,0,su,Surf's Up,play,title_results,2024-07-22 08:31:59
Josh,AU,PS4,0,su,Surf's Up,select,title_results,2024-07-22 08:31:55
Josh,AU,HTML 5,0,10,,select,suggestion_results,2024-07-20 11:11:25
Josh,TH,iPhone,0,shitter,The Dictator,select,title_results,2024-07-15 16:37:44
Josh,TH,iPhone,0,shitter,Seven,select,title_results,2024-07-15 16:37:32
Josh,TH,iPhone,0,shitter,The Social Network,select,title_results,2024-07-15 16:37:30
Josh,TH,iPhone,0,shitter,The Social Network,select,title_results,2024-07-15 16:37:27
Josh,TH,iPhone,0,shitter,Shutter Island,select,title_results,2024-07-15 16:37:22
Josh,TH,iPhone,0,the gift,,select,title_results,2024-07-15 16:35:22
Josh,TH,iPhone,0,the gift,The Gift,select,title_results,2024-07-15 16:35:14
Josh,TH,iPhone,0,the gift,,select,title_results,2024-07-15 16:35:11
Josh,TH,iPhone,0,midn,,select,title_results,2024-06-21 10:17:05
Josh,AU,iPhone,0,diverg,Nightcrawler,select,title_results,2024-06-17 13:20:46
Josh,AU,iPhone,0,diverg,The Divergent Series: Allegiant - Part 1,select,title_results,2024-06-17 13:20:33
Josh,AU,iPhone,0,diverg,The Divergent Series: Insurgent,select,title_results,2024-06-17 13:20:31
Josh,AU,iPhone,0,diverg,Divergent,select,title_results,2024-06-17 13:20:28
Josh,AU,Set Top Box,0,wo,The Wolf of Wall Street,play,title_results,2024-06-12 11:13:43
Josh,AU,Set Top Box,0,wo,The Wolf of Wall Street,select,title_results,2024-06-12 11:13:40
Josh,AU,Set Top Box,0,mid,,play,title_results,2024-06-11 11:29:44
Josh,AU,Set Top Box,0,mid,,select,title_results,2024-06-11 11:29:40
Josh,AU,Set Top Box,0,ben,,play,title_results,2024-06-09 11:56:43
Josh,AU,Set Top Box,0,ben,,select,title_results,2024-06-09 11:56:22
Josh,AU,Set Top Box,0,sq,,play,title_results,2024-02-05 05:45:10
Josh,AU,Set Top Box,0,sq,,select,title_results,2024-02-05 05:45:03
Josh,AU,iPhone,0,bl,,select,title_results,2024-01-19 06:45:40
Josh,AU,Set Top Box,0,bla,Black Mirror: Bandersnatch,play,title_results,2024-01-17 03:53:48
Josh,AU,Set Top Box,0,bla,Black Mirror: Bandersnatch,select,title_results,2024-01-17 03:53:44
Josh,AU,Set Top Box,0,bla,,play,title_results,2024-01-17 02:43:42
Josh,AU,Set Top Box,0,bla,,play,title_results,2024-01-17 02:41:47
Josh,AU,Set Top Box,0,bla,,select,title_results,2024-01-17 02:41:23
Josh,AU,Set Top Box,0,viv,Vivarium,select,suggestion_results,2023-12-24 06:03:47
Josh,AU,Set Top Box,0,bl,Blade Runner 2049,play,title_results,2023-12-03 10:35:55
Josh,AU,Set Top Box,0,bl,Blade Runner 2049,select,title_results,2023-12-03 10:35:53
Josh,AU,Set Top Box,0,bl,Blade Runner 2049,play,title_results,2023-12-03 10:35:45
Josh,AU,Set Top Box,0,bl,Blade Runner 2049,select,title_results,2023-12-03 10:35:42
Josh,AU,Set Top Box,0,,,play,prequery_results,2023-12-03 10:23:44
Josh,AU,Set Top Box,0,,,play,prequery_results,2023-12-03 10:01:13
Josh,AU,Set Top Box,0,,,select,prequery_results,2023-12-03 10:01:10
Josh,AU,Set Top Box,0,blac,,play,title_results,2023-12-03 08:20:17
