Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Dad,tvui,browseTitlesGallery,,,2025-06-10 17:25:07
Dad,tvui,browseTitlesGallery,,,2025-06-10 17:25:07
Dad,tvui,browseTitlesGallery,,,2025-06-10 17:24:50
Dad,tvui,movieDetails,,,2025-06-10 17:24:50
Dad,tvui,playback,,,2025-06-10 17:24:47
Dad,tvui,postPlay,,,2025-06-10 17:24:47
Dad,tvui,postPlay,,,2025-06-10 17:24:47
Dad,tvui,movieDetails,,,2025-06-10 17:24:47
Dad,tvui,playback,,,2025-06-10 17:22:13
Dad,tvui,movieDetails,,,2025-06-10 17:22:13
Dad,tvui,browseTitlesGallery,,,2025-06-10 17:22:11
Dad,tvui,movieDetails,,,2025-06-10 17:22:11
Dad,tvui,movieDetails,,,2025-06-10 17:22:05
Dad,tvui,browseTitlesGallery,,,2025-06-10 17:22:05
Dad,tvui,browseTitlesGallery,,,2025-06-10 17:22:04
Dad,tvui,movieDetails,,,2025-06-10 17:22:04
Dad,tvui,search,,,2025-06-10 17:21:32
Dad,tvui,browseTitlesGallery,,,2025-06-10 17:21:32
Dad,tvui,browseTitles,,,2025-06-10 17:21:30
Dad,tvui,search,,,2025-06-10 17:21:30
Dad,tvui,search,,,2025-06-10 17:16:09
Dad,tvui,browseTitles,,,2025-06-10 17:16:09
Dad,tvui,browseTitles,,,2025-06-10 17:16:05
Dad,tvui,search,,,2025-06-10 17:16:05
Dad,tvui,profilesGate,,,2025-06-10 17:15:54
Dad,tvui,browseTitles,,,2025-06-10 17:15:54
Dad,iOS,profilesGate,,,2025-06-10 08:23:57
Dad,iOS,browseTitles,,,2025-06-10 08:23:57
Dad,iOS,profilesGate,,,2025-06-10 08:23:57
Dad,iOS,profilesGate,,,2025-06-09 03:29:05
Dad,iOS,profilesGate,,,2025-06-09 03:29:05
Dad,iOS,browseTitles,,,2025-06-09 03:29:05
Dad,iOS,profilesGate,,,2025-06-08 04:18:45
Dad,iOS,browseTitles,,,2025-06-08 04:18:45
Dad,iOS,profilesGate,,,2025-06-08 04:18:45
